BN Part Number,OEM #,LBS.,,,Pt,Pd,Rh,Pt 100,Pd 100,Rh 100,Pt 97 , Pd 96.5 ,Rh 88,Refining , Treatment Charges,Interest Charges,Gross ,Net,,,,Per Lbs $
TOYOTA KNOTTS,T64,1.1583,0.99,1.17,2040,20,435,0.03,0.00,0.01,0.03,0.00,0.01,0.08,0.93,#VALUE!,131.15,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
TOYOTA KNOTTS,L31160,1.1781,0.99,1.19,1355,1922,428,0.02,0.03,0.01,0.02,0.03,0.01,0.12,0.94,#VALUE!,191.34,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
TOYOTA KNOTTS,T37,1.2177,0.99,1.23,1882,39,442,0.03,0.00,0.01,0.03,0.00,0.01,0.08,0.97,#VALUE!,137.53,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
TOYOTA KNOTTS,T27,1.1484,0.99,1.16,1681,75,385,0.03,0.00,0.01,0.03,0.00,0.01,0.07,0.92,#VALUE!,115.15,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
TOYOTA KNOTTS,GC5,1.0098,0.99,1.02,5724,29,886,0.08,0.00,0.01,0.08,0.00,0.01,0.19,0.81,#VALUE!,254.92,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
TOYOTA KNOTTS,X09,1.4652,0.99,1.48,2568,3851,861,0.05,0.08,0.02,0.05,0.08,0.02,0.30,1.17,#VALUE!,474.73,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,10243261,3.5541,0.99,3.59,1198,14,101,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.84,#VALUE!,130.91,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,12563200,3.9006,0.99,3.94,154,2686,137,0.01,0.15,0.01,0.01,0.15,0.01,0.33,3.12,#VALUE!,443.11,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,12563202,3.8313,0.99,3.87,231,4050,202,0.01,0.23,0.01,0.01,0.22,0.01,0.48,3.07,#VALUE!,652.82,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,12563310,3.5739,0.99,3.61,464,1333,168,0.02,0.07,0.01,0.02,0.07,0.01,0.20,2.86,#VALUE!,289.89,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24503701,3.4452,0.99,3.48,1195,16,101,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.76,#VALUE!,126.97,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24505512,3.5244,0.99,3.56,1522,35,186,0.08,0.00,0.01,0.08,0.00,0.01,0.17,2.82,#VALUE!,205.98,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24505514,3.0294,0.99,3.06,1711,38,217,0.08,0.00,0.01,0.07,0.00,0.01,0.17,2.42,#VALUE!,203.51,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24506041,3.564,0.99,3.60,1144,16,98,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.85,#VALUE!,126.72,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24506761,4.0788,0.99,4.12,184,4660,257,0.01,0.28,0.02,0.01,0.27,0.01,0.58,3.26,#VALUE!,814.25,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24506982,3.1977,0.99,3.23,1320,48,117,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.56,#VALUE!,136.59,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507193,3.5046,0.99,3.54,1163,14,101,0.06,0.00,0.01,0.06,0.00,0.00,0.13,2.80,#VALUE!,127.35,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507417,3.5838,0.99,3.62,421,1303,176,0.02,0.07,0.01,0.02,0.07,0.01,0.19,2.87,#VALUE!,290.62,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
